Production Item No_,Production Variant Code,Location Code,Production Scheme Code,Activity Scheme Code,Add_ Activity Scheme Code
4000084,000084BO01,OH08,OH08-1GALPER-LEU,OH08-1GALPER,OH08-4000084-BO01
4000094,000094BO01,OH08,OH08-75INPLT-CLY,OH08-74INPER,OH08-4000094-BO01
4000094,000094BO02,OH08,OH08-75INPLT-CLY,OH08-74INPER,OH08-4000094-BO02
4000094,000094BO03,OH08,OH08-75INPLT-CLY,OH08-74INPER,OH08-4000094-BO03
4000126,000126BO01,OH08,OH08-1GALPER-AQU,OH08-1GALPER,OH08-4000126-BO01
4000134,000134BO01,OH08,OH08-1GALPER-SCA,OH08-1GALPER,OH08-4000134-BO01
4000141,000141BO01,OH08,OH08-1GALPER-COR,OH08-1GALPER,OH08-4000141-BO01
4000143,000143BO01,OH08,OH08-1GALPER-DPH,OH08-1GALPER,OH08-4000143-BO01
4000144,000144BO01,OH08,OH08-1GALPER-DIA,OH08-1GALPER,OH08-4000144-BO01
4000145,000145BO01,OH08,OH08-1GALPER-DIG,OH08-1GALPER,OH08-4000146-BO01
4000148,000148BO01,OH08,OH08-1GALPER-GAI,OH08-1GALPER,OH08-4000148-BO01
4000149,000149BO01,OH08,OH08-1GALPER-HEU,OH08-1GALPER,OH08-4000149-BO01
4000153,000153BO01,OH08,OH08-1GALPER-RUD,OH08-1GALPER,OH08-4000153-BO01
4000153,000153BO02,OH08,OH08-1GALPER-RUD,OH08-1GALPER,OH08-4000153-BO02
4000153,000153BO03,OH08,OH08-1GALPER-RUD,OH08-1GALPER,OH08-4000153-BO03
4000153,000153BO05,OH08,OH08-1GALPER-RUD,OH08-1GALPER,OH08-4000153-BO05
4000154,000154BO01,OH08,OH08-1GALPER-SAL,OH08-1GALPER,OH08-4000154-BO01
4000155,000155BO02,OH08,OH08-1GALPER-SED,OH08-1GALPER,OH08-4000155-BO02
4000155,000155BO03,OH08,OH08-1GALPER-SED,OH08-1GALPER,OH08-4000155-BO03
4000156,000156BO01,OH08,OH08-1GALPER-VRC,OH08-1GALPER,OH08-4000156-BO01
4000218,000218BO01,OH08,OH08-2GALPER-HOS,OH08-2GALPER-HOS,OH08-4000218-BO01
4000246,000246BO01,OH08,OH08-2GALPER-PSK,OH08-2GALPER-BLUE,OH08-4000246-BO01
4000249,000249BO01,OH08,OH08-2GALPER-ECH,OH08-2GALPER-RED,OH08-4000249-BO01
4000252,000252BO01,OH08,OH08-2GALPER-RUD,OH08-2GALPER,OH08-4000252-BO01
4000254,000254BO01,OH08,OH08-2GALPER-DPH,OH08-2GALPER-BLUE,OH08-4000254-BO01
4000278,000278BO01,OH08,OH08-1GALPER-GAU,OH08-1GALPER,OH08-4000278-BO01
4000319,000319BO01,OH08,OH08-1GALNNV-ECH,OH08-1GALNNV,OH08-4000319-BO01
4000383,000383BO01,OH08,OH08-1GALNNV-SAL,OH08-1GALNNV,OH08-4000383-BO01
4000385,000385BO01,OH08,OH08-1GALNNV-DIA,OH08-1GALNNV,OH08-4000385-BO01
4000385,000385BO02,OH08,OH08-1GALNNV-DIA,OH08-1GALNNV,OH08-4000385-BO02
4000446,000446BO01,OH08,OH08-2GALPER-LUP,OH08-2GALPER-RED,OH08-4000446-BO01
4000457,000457BO01,OH08,OH08-1GALPER-SIL,OH08-1GALPER,OH08-4000457-BO01
4000463,000463BO01,OH08,OH08-1GALPER-NEP,OH08-1GALPER,OH08-4000463-BO01
4000699,000699BO01,OH08,OH08-1GALNNV-MON,OH08-1GALNNV,OH08-4000699-BO01
4000795,000795BO01,OH08,OH08-1GALPER-ARM,OH08-1GALPER,OH08-4000795-BO01
4006980,006980BO01,OH08,OH08-1GALPER-HOS,OH08-1GALPER-HOS,OH08-4006980-BO01
4000960,000960BV01,NC04,NC04-11INPER-ECH,NC04-11INPER,NC04-4000960-BV01
4000959,000959BV01,NC04,NC04-11INPER-GAI,NC04-11INPER,NC04-4000959-BV01
4000955,000955BV01,NC04,NC04-11INPER-CAN,NC04-11INPER,NC04-4000955-BV01
4000954,000954BV02,NC04,NC04-11INPER-HEU,NC04-11INPER,NC04-4000954-BV02
4000950,000950BV01,NC04,NC04-11INPER-HIB,NC04-11INPER,NC04-4000950-BV01
4000947,000947BV01,NC04,NC04-1GALPRW-CLE-NSP,NC04-1GALPRW-SP,NC04-4000947-BV01
4000888,000888BN01,NC03,NC03-11INPER-CAN,NC03-11INPER-TR,NC04-4000888-BV01
4000776,000776BV01,NC04,NC04-2GALPRW-SPI,NC04-2GALPRW,NC04-4000776-BV01
4000773,000773BV01,NC04,NC04-2GALPRW-SYR,NC04-2GALPRW,NC04-4000773-BV01
4000770,000770BV01,NC04,NC04-2GALPRW-WEI,NC04-2GALPRW,NC04-4000770-BV01
4000769,000769BV01,NC04,NC04-2GALPRW-WEI,NC04-2GALPRW,NC04-4000769-BV01
4000415,000415BV01,NC04,NC04-11INPER-LAV,NC04-11INPER,NC04-4000415-BV01
4000386,000386BV01,NC04,NC04-11INPER-RUD,NC04-11INPER,NC04-4000386-BV01
4000315,000315BV01,NC04,NC04-11INPER-DIG,NC04-11INPER,NC04-4000315-BV01
4000312,000312BV01,NC04,NC04-11INPER-ALS,NC04-11INPER,NC04-4000312-BV01
5000225,,VA05,VA05-PT288-PAN,VA05-PT288-SD-1/C,
5000216,,VA05,VA05-PT288-SNA,VA05-PT288-SD-2/C,
5000221,,VA07,VA07-PT288-ALY,VA07-PT288-2/CELL,
5000218,,VA07,VA07-PT288-DIA,VA07-PT288-1/C,
5000225,,VA07,VA07-PT288-PAN,VA07-PT288-1/C,
5000216,,VA07,VA07-PT288-SNA,VA07-PT288-2/CELL,
5000219,,VA07,VA07-PT288-DUS,VA07-PT288-2/CELL,
4000262,000262BO01,OH08,OH08-1QRTPER-BEL,OH08-45INPER,OH08-4000262-BO01
4000268,000268BO01,OH08,OH08-1QRTPER-IBE,OH08-45INPER,OH08-4000268-BO01
5000188,,OH08,OH08-PT105-BEG-NON,OH08-PT105-SD,
5000387,,OH08,OH08-PT105-BEG-NON,OH08-PT105-SD,
5000174,,OH08,OH08-PT105-PET-WAV,OH08-PT105-SD,
5000616,,OH08,OH08-PT105-RUD,OH08-PT105-SD,
5000180,,OH08,OH08-PT288-BEG,OH08-PT288-SD,
5000225,,OH08,OH08-PT288-PAN,OH08-PT288-SD,
5000226,,OH08,OH08-PT288-VIO,OH08-PT288-SD,
5000218,,VA05,VA05-PT288-DIA,VA05-PT288-SD-1/C,
4000354,000354BO01,OH08,OH08-LARGBOT-HYA,BN-LARGEBOT,BN-4000354-01-001B
4000354,000354BO02,OH08,OH08-LARGBOT-DAF,BN-LARGEBOT,BN-4000354-02-001B
4000354,000354BO03,OH08,OH08-LARGBOT-MUS,BN-LARGEBOT,BN-4000354-03-001B
5000184,,VA05,VA05-PT288-PET,VA05-PT288-SD-1/C,
5000516,,VA05,VA05-PT105-CIN,VA05-PT105-UN-1/C,
5000731,,VA05,VA05-PT105-ROS,VA05-PT105EL-UN-1/C,
5000283,,VA07,VA07-PT288-PET-WAV,VA07-PT288-1/C,
4000858,,OH08,OH08-PT21-PVK,OH08-PT21-UN-1/C,
5000514,,OH08,OH08-PT21-PHX,OH08-PT21-UN-1/C,
5000353,,OH08,OH08-PT105-VIN,OH08-PT105-UN-2/C,
5000158,,OH08,OH08-PT21-SAL,OH08-PT21-UN-1/C,
5000339,,OH08,OH08-PT50EL-BEG,OH08-PT50EL-UN-1/C,
5000956,,OH08,OH08-PT50EL-GER,OH08-PT50EL-UN-1/C,
5000797,,OH08,OH08-PT50EL-PER,OH08-PT50EL-UN-1/C,
5000210,,OH08,OH08-PT105-LOB,OH08-PT105-UN-1/C,
5000207,,OH08,OH08-PT105-BAC,OH08-PT105-UN-1/C,
5000539,,OH08,OH08-PT105-LYS,OH08-PT105-UN-2/C,
5000180,,VA05,VA05-PT288-BEG,VA05-PT288-SD-2/C,
5000568,,VA05,VA05-PT288-BEG-PRM,VA05-PT288-SD-1/C,
5000221,,VA05,VA05-PT288-ALY,VA05-PT288-SD-1/C,
5000219,,VA05,VA05-PT288-DUS,VA05-PT288-SD-2/C,
4000310,4000310B01,VA05,VA05-08INHYD-HYD,BN-08INMUM-SPH,BN-4000310-01-004P
4000356,4000356B01,VA05,VA05-10INHYD-HYD,BN-10INHYD-PTH,BN-4000356-01-006P
4000508,000508BV01,NC04,NC04-2GALPER-SIL-FAL,NC04-2GALPER-PINK,NC04-4000508-BV01
4000710,000710BV01,NC04,NC04-3GALPER-SIL-FAL,NC04-3GALPER,NC04-4000710-BV01
5000743,,VA05,VA05-PT50EL-HED,VA05-PT50EL-UN-3/C,
5000210,,VA05,VA05-PT105-LOB,VA05-PT105-UN-1/C,
5000385,,VA05,VA05-PT105-LOU,VA05-PT105EL-UN-1/C,
5000211,,VA05,VA05-PT105-VER,VA05-PT105-UN-1/C,
5000353,,VA05,VA05-PT105-VVI,VA05-PT105EL-UN-2/C,
5000203,,VA05,VA05-PT105-LYS,VA05-PT105EL-UN-2/C,
5000106,,VA05,VA05-PT105-OST,VA05-PT105EL-UN-1/C,
5000250,,VA05,VA05-PT105-VVI,VA05-PT105EL-UN-2/C,
5000197,,VA05,VA05-PT50EL-GER-CAL,VA05-PT50EL-UN-1/C,
5000181,,VA07,VA07-PT288-IMP,VA07-PT288-1/C,
4000176,000176BN01,NC03,NC04-04INGRC,NC03-04INGRC,NC03-4000176-BN01
4000177,000177BN01,NC03,NC03-04INPER-T,NC03-04INPER-TR,NC03-4000177-BN01
4000230,000230BN01,NC03,NC03-1QRTPER-DAY,NC03-1QRTPER,NC03-4000230-BN01
4000232,000232BN01,NC03,NC03-1QRTPER-DIA-SPT,NC03-1QRTPER-TR,NC03-4000232-BN01
4000238,000238BN01,NC03,NC03-04INGRC-IVY-T,NC03-04INGRC-TR,NC03-4000238-BN01
4000242,000242BN01,NC03,NC03-04INGRC-LYS,NC03-04INGRC,NC03-4000242-BN01
4000291,000291BN01,NC03,NC03-04INGRC-PAC-T,NC03-04INGRC-TR,NC03-4000291-BN01
4000360,000360BN01,NC03,NC03-04INGRC-VIN-T,NC03-04INGRC-TR,NC03-4000360-BN01
4000521,000521BN01,NC03,NC03-1QRTVIG-MIN-T,NC03-1QRTVIG-TR,NC03-4000521-BN01
4000724,000724BN01,NC03,NC03-1QRTVIG-CRX-TR,NC03-1QRTVIG-TR,NC03-4000724-BN01
4000923,000923BN01,NC03,NC03-1QRTPER-IBE-FAL,NC03-1QRTPER,NC03-4000923-BN01
