Code,Description,Genus Code
BN-012PANN-BEG-LSP,BN 12 Pk Begonia Long SP,BEGONIA
BN-012PANN-BEG-MSP,BN 12 Pk Begonia Mid SP,BEGONIA
BN-012PANN-BEG-SSP,BN 12 Pk Begonia Short SP,BEGONIA
BN-012PANN-COL-LSP,BN 12 PK Coleus Long SP,COLEUS
BN-012PANN-COL-MSP,BN 12 PK Coleus Mid SP,COLEUS
BN-012PANN-COL-SSP,BN 12 PK Coleus Short SP,COLEUS
BN-012PANN-DIA-LSP,BN 12 Pk Dianthus Long SP,DIANTHUS
BN-012PANN-DIA-MSP,BN 12 Pk Dianthus Mid SP,DIANTHUS
BN-012PANN-DIA-SSP,BN 12 Pk Dianthus Short SP,DIANTHUS
BN-012PANN-DUS-LSP,BN 12 PK Dusty Miller Long SP,DUSTY MILLER
BN-012PANN-DUS-MSP,BN 12 PK Dusty Miller Mid SP,DUSTY MILLER
BN-012PANN-DUS-SSP,BN 12 PK Dusty Miller Short SP,DUSTY MILLER
BN-012PANN-IMP-LSP,BN 12 Pk Impatiens Long SP,IMPATIENS
BN-012PANN-IMP-MSP,BN 12 Pk Impatiens Mid SP,IMPATIENS
BN-012PANN-IMP-SSP,BN 12 Pk Impatiens Short SP,IMPATIENS
BN-012PANN-MAR-LSP,BN 12 Pk Marigold French Long SP,MARIGOLD
BN-012PANN-MAR-MSP,BN 12 Pk Marigold French Mid SP,MARIGOLD
BN-012PANN-MAR-SSP,BN 12 Pk Marigold French Short SP,MARIGOLD
BN-012PANN-PAN-LSP,BN 12 Pk Pansy Long SP,PANSY
BN-012PANN-PAN-MSP,BN 12 Pk Pansy Mid SP,PANSY
BN-012PANN-PAN-SSP,BN 12 Pk Pansy Short SP,PANSY
BN-012PANN-PET-LSP,BN 12 Pk Petunia Long SP,PETUNIA
BN-012PANN-PET-MSP,BN 12 Pk Petunia Mid SP,PETUNIA
BN-012PANN-PET-SSP,BN 12 Pk Petunia Short SP,PETUNIA
BN-012PANN-VIN-LSP,BN 12 Pk Vinca Long SP,VINCA
BN-012PANN-VIN-MSP,BN 12 Pk Vinca Mid SP,VINCA
BN-012PANN-VIN-SSP,BN 12 Pk Vinca Short SP,VINCA
BN-012PANN-ZIN-LSP,BN 12 Pk Zinnia Long SP,ZINNIA
BN-012PANN-ZIN-MSP,BN 12 Pk Zinnia Mid SP,ZINNIA
BN-012PANN-ZIN-SSP,BN 12 Pk Zinnia Short SP,ZINNIA
BN-018PANN-BEG-LSP,BN 18 Pk Begonia Long SP,BEGONIA
BN-018PANN-BEG-MSP,BN 18 Pk Begonia Mid SP,BEGONIA
BN-018PANN-BEG-SSP,BN 18 Pk Begonia Short SP,BEGONIA
BN-018PANN-CEL-LSP,BN 18 Pk Celosia Long SP,CELOSIA
BN-018PANN-CEL-MSP,BN 18 Pk Celosia Mid SP,CELOSIA
BN-018PANN-CEL-SSP,BN 18 Pk Celosia Short SP,CELOSIA
BN-018PANN-COL-LSP,BN 18 PK Coleus Long SP,COLEUS
BN-018PANN-COL-MSP,BN 18 PK Coleus Mid SP,COLEUS
BN-018PANN-COL-SSP,BN 18 PK Coleus Short SP,COLEUS
BN-018PANN-IMP-LSP,BN 18 Pk Impatiens Long SP,IMPATIENS
BN-018PANN-IMP-MSP,BN 18 Pk Impatiens Mid SP,IMPATIENS
BN-018PANN-IMP-SSP,BN 18 Pk Impatiens Short SP,IMPATIENS
BN-018PANN-MAR-LSP,BN 18 Pk Marigold French Long SP,MARIGOLD
BN-018PANN-MAR-MSP,BN 18 Pk Marigold French Mid SP,MARIGOLD
BN-018PANN-MAR-SSP,BN 18 Pk Marigold French Short SP,MARIGOLD
BN-018PANN-PAN-KY1SP,BN 18 Pk Pansy KY01 SP,PANSY
BN-018PANN-PAN-LSP,BN 18 pk Pansy Long SP,PANSY
BN-018PANN-PAN-MSP,BN 18 Pk Pansy Mid SP,PANSY
BN-018PANN-PAN-SSP,BN 18 Pk Pansy Short SP,PANSY
BN-018PANN-PAN-VA7SP,BN 18 Pk Pansy VA07 SP,PANSY
BN-018PANN-PET-LSP,BN 18 Pk Petunia Long SP,PETUNIA
BN-018PANN-PET-MSP,BN 18 Pk Petunia Mid SP,PETUNIA
BN-018PANN-PET-SSP,BN 18 Pk Petunia Short SP,PETUNIA
BN-018PANN-POR-LSP,BN 18 Pk Portulaca Long SP,PORTULACA
BN-018PANN-POR-MSP,BN 18 Pk Portulaca Mid SP,PORTULACA
BN-018PANN-POR-SSP,BN 18 Pk Portulaca Short SP,PORTULACA
BN-018PANN-SAL-LSP,BN 18 Pk Salvia Long SP,SALVIA
BN-018PANN-SAL-MSP,BN 18 Pk Salvia Mid SP,SALVIA
BN-018PANN-SAL-SSP,BN 18 Pk Salvia Short SP,SALVIA
BN-018PANN-SUN-LSP,BN 18 Pk Sunpatiens Long SP,IMPATIENS
BN-018PANN-SUN-MSP,BN 18 Pk Sunpatiens Mid SP,IMPATIENS
BN-018PANN-SUN-SSP,BN 18 Pk Sunpatiens Short SP,IMPATIENS
BN-018PANN-VIN-LSP,BN 18 Pk Vinca Long SP,VINCA
BN-018PANN-VIN-MSP,BN 18 Pk Vinca Mid SP,VINCA
BN-018PANN-VIN-SSP,BN 18 Pk Vinca Short SP,VINCA
BN-018PANN-WAV-LSP,BN 18 Pk Petunia Wave Long SP,PETUNIA
BN-018PANN-WAV-MSP,BN 18 Pk Petunia Wave Mid SP,PETUNIA
BN-018PANN-WAV-SSP,BN 18 Pk Petunia Wave Short SP,PETUNIA
BN-018PBIG-BEG-LPT,BN 18 PK Begonia Big Long PT,BEGONIA
BN-018PBIG-BEG-LSP,BN 18 PK Begonia Big Long SP,BEGONIA
BN-018PBIG-BEG-MPT,BN 18 PK Begonia Big Mid PT,BEGONIA
BN-018PBIG-BEG-MSP,BN 18 PK Begonia Big Mid SP,BEGONIA
BN-018PBIG-BEG-SPT,BN 18 PK Begonia Big Short PT,BEGONIA
BN-018PBIG-BEG-SSP,BN 18 PK Begonia Big Short SP,BEGONIA
BN-02INART-ALO-LSP,"BN 2"" Artfully Rooted Alocasia Long SP",ALOCASIA
BN-02INART-CAT-LSP,"BN 2"" Artfully Rooted Calathea Long SP",CALATHEA
BN-02INART-CRA-LSP,"BN 2"" Artfully Rooted Crassula Long SP",CRASSULA
BN-02INART-ECV-LSP,"BN 2"" Artfully Rooted Echeveria Long SP",ECHEVERIA
BN-02INART-FIT-LSP,"BN 2"" Artfully Rooted Fittonia Long SP",FITTONIA
BN-02INART-HAW-LSP,"BN 2"" Artfully Rooted Haworthia Long SP",HAWORTHIA
BN-02INART-KAN-LSP,"BN 2"" Artfully Rooted Kalanchoe Long SP",KALANCHOE
BN-02INART-PEP-LSP,"BN 2"" Artfully Rooted Peperomia Long SP",PEPEROMIA
BN-02INART-PIL-LSP,"BN 2"" Artfully Rooted Pilea Long SP",PILEA
BN-02INART-SAN-LSP,"BN 2"" Artfully Rooted Sansevieria Long SP",SANSEVIERIA
BN-02QTANN-AGE-LSP,BN 2 QT Ageratum Long SP,AGERATUM
BN-02QTANN-AGE-MSP,BN 2 QT Ageratum Mid SP,AGERATUM
BN-02QTANN-AGE-SSP,BN 2 QT Ageratum Short SP,AGERATUM
BN-02QTANN-ALY-LSP,BN 2 QT Alyssum Long SP,ALYSSUM
BN-02QTANN-ALY-MSP,BN 2 QT Alyssum Mid SP,ALYSSUM
BN-02QTANN-ALY-SSP,BN 2 QT Alyssum Short SP,ALYSSUM
