Production Scheme Code,Line no_,Production Phase,Duration,Qty_ per Area,Output _
BN-012PANN-BEG-LSP,"10,000",GROW,7.00,1.92,0.00
BN-012PANN-BEG-LSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-BEG-MSP,"10,000",GROW,6.00,1.92,0.00
BN-012PANN-BEG-MSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-BEG-SSP,"10,000",GROW,5.00,1.92,0.00
BN-012PANN-BEG-SSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-COL-LSP,"10,000",GROW,7.00,1.92,0.00
BN-012PANN-COL-LSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-COL-MSP,"10,000",GROW,6.00,1.92,0.00
BN-012PANN-COL-MSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-COL-SSP,"10,000",GROW,5.00,1.92,0.00
BN-012PANN-COL-SSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-DIA-LSP,"10,000",GROW,10.00,1.92,0.00
BN-012PANN-DIA-LSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-DIA-MSP,"10,000",GROW,9.00,1.92,0.00
BN-012PANN-DIA-MSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-DIA-SSP,"10,000",GROW,8.00,1.92,0.00
BN-012PANN-DIA-SSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-DUS-LSP,"10,000",GROW,7.00,1.92,0.00
BN-012PANN-DUS-LSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-DUS-MSP,"10,000",GROW,6.00,1.92,0.00
BN-012PANN-DUS-MSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-DUS-SSP,"10,000",GROW,5.00,1.92,0.00
BN-012PANN-DUS-SSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-IMP-LSP,"10,000",GROW,6.00,1.92,0.00
BN-012PANN-IMP-LSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-IMP-MSP,"10,000",GROW,5.00,1.92,0.00
BN-012PANN-IMP-MSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-IMP-SSP,"10,000",GROW,4.00,1.92,0.00
BN-012PANN-IMP-SSP,"20,000",INVENTORY,1.00,1.92,100.00
BN-012PANN-MAR-LSP,"10,000",GROW,6.00,1.92,0.00
