Production Scheme Code,Production Scheme Line No_,Production Phase,No_ of Days,Period No_
BN-012PANN-BEG-LSP,"10,000",GROW,49.00,1
BN-012PANN-BEG-LSP,"10,000",GROW,42.00,15
BN-012PANN-BEG-LSP,"10,000",GROW,35.00,18
BN-012PANN-BEG-LSP,"10,000",GROW,28.00,23
BN-012PANN-BEG-LSP,"10,000",GROW,35.00,37
BN-012PANN-BEG-LSP,"10,000",GROW,42.00,42
BN-012PANN-BEG-LSP,"10,000",GROW,49.00,45
BN-012PANN-BEG-MSP,"10,000",GROW,42.00,1
BN-012PANN-BEG-MSP,"10,000",GROW,35.00,15
BN-012PANN-BEG-MSP,"10,000",GROW,28.00,18
BN-012PANN-BEG-MSP,"10,000",GROW,35.00,42
BN-012PANN-BEG-MSP,"10,000",GROW,42.00,45
BN-012PANN-BEG-SSP,"10,000",GROW,35.00,1
BN-012PANN-BEG-SSP,"10,000",GROW,28.00,15
BN-012PANN-BEG-SSP,"10,000",GROW,35.00,45
BN-012PANN-COL-LSP,"10,000",GROW,49.00,1
BN-012PANN-COL-LSP,"10,000",GROW,42.00,15
BN-012PANN-COL-LSP,"10,000",GROW,35.00,18
BN-012PANN-COL-LSP,"10,000",GROW,28.00,23
BN-012PANN-COL-LSP,"10,000",GROW,35.00,37
BN-012PANN-COL-LSP,"10,000",GROW,42.00,40
BN-012PANN-COL-LSP,"10,000",GROW,49.00,42
BN-012PANN-COL-MSP,"10,000",GROW,42.00,1
BN-012PANN-COL-MSP,"10,000",GROW,35.00,15
BN-012PANN-COL-MSP,"10,000",GROW,28.00,18
BN-012PANN-COL-MSP,"10,000",GROW,35.00,40
BN-012PANN-COL-MSP,"10,000",GROW,42.00,42
BN-012PANN-COL-SSP,"10,000",GROW,35.00,1
BN-012PANN-COL-SSP,"10,000",GROW,28.00,15
BN-012PANN-COL-SSP,"10,000",GROW,35.00,42
BN-012PANN-DIA-LSP,"10,000",GROW,70.00,1
BN-012PANN-DIA-LSP,"10,000",GROW,63.00,15
BN-012PANN-DIA-LSP,"10,000",GROW,56.00,18
BN-012PANN-DIA-LSP,"10,000",GROW,49.00,21
BN-012PANN-DIA-LSP,"10,000",GROW,35.00,24
BN-012PANN-DIA-LSP,"10,000",GROW,49.00,37
BN-012PANN-DIA-LSP,"10,000",GROW,56.00,40
BN-012PANN-DIA-LSP,"10,000",GROW,63.00,43
BN-012PANN-DIA-LSP,"10,000",GROW,70.00,46
BN-012PANN-DIA-MSP,"10,000",GROW,63.00,1
BN-012PANN-DIA-MSP,"10,000",GROW,56.00,15
BN-012PANN-DIA-MSP,"10,000",GROW,49.00,18
BN-012PANN-DIA-MSP,"10,000",GROW,42.00,21
BN-012PANN-DIA-MSP,"10,000",GROW,35.00,24
BN-012PANN-DIA-MSP,"10,000",GROW,42.00,37
BN-012PANN-DIA-MSP,"10,000",GROW,49.00,40
BN-012PANN-DIA-MSP,"10,000",GROW,56.00,43
BN-012PANN-DIA-MSP,"10,000",GROW,63.00,46
BN-012PANN-DIA-SSP,"10,000",GROW,56.00,1
BN-012PANN-DIA-SSP,"10,000",GROW,49.00,15
BN-012PANN-DIA-SSP,"10,000",GROW,42.00,18
BN-012PANN-DIA-SSP,"10,000",GROW,35.00,21
BN-012PANN-DIA-SSP,"10,000",GROW,42.00,40
BN-012PANN-DIA-SSP,"10,000",GROW,49.00,43
BN-012PANN-DIA-SSP,"10,000",GROW,56.00,46
BN-012PANN-DUS-LSP,"10,000",GROW,49.00,1
BN-012PANN-DUS-LSP,"10,000",GROW,42.00,15
BN-012PANN-DUS-LSP,"10,000",GROW,35.00,21
BN-012PANN-DUS-LSP,"10,000",GROW,28.00,23
BN-012PANN-DUS-LSP,"10,000",GROW,42.00,37
BN-012PANN-DUS-LSP,"10,000",GROW,49.00,42
BN-012PANN-DUS-MSP,"10,000",GROW,42.00,1
BN-012PANN-DUS-MSP,"10,000",GROW,35.00,15
BN-012PANN-DUS-MSP,"10,000",GROW,28.00,21
BN-012PANN-DUS-MSP,"10,000",GROW,35.00,37
BN-012PANN-DUS-MSP,"10,000",GROW,42.00,42
BN-012PANN-DUS-SSP,"10,000",GROW,35.00,1
BN-012PANN-DUS-SSP,"10,000",GROW,28.00,15
BN-012PANN-DUS-SSP,"10,000",GROW,35.00,42
BN-012PANN-IMP-LSP,"10,000",GROW,42.00,1
BN-012PANN-IMP-LSP,"10,000",GROW,35.00,18
BN-012PANN-IMP-LSP,"10,000",GROW,28.00,21
BN-012PANN-IMP-LSP,"10,000",GROW,21.00,23
BN-012PANN-IMP-LSP,"10,000",GROW,28.00,37
BN-012PANN-IMP-LSP,"10,000",GROW,35.00,40
BN-012PANN-IMP-LSP,"10,000",GROW,42.00,43
BN-012PANN-IMP-MSP,"10,000",GROW,35.00,1
BN-012PANN-IMP-MSP,"10,000",GROW,28.00,18
BN-012PANN-IMP-MSP,"10,000",GROW,21.00,21
BN-012PANN-IMP-MSP,"10,000",GROW,28.00,40
BN-012PANN-IMP-MSP,"10,000",GROW,35.00,43
BN-012PANN-IMP-SSP,"10,000",GROW,28.00,1
BN-012PANN-IMP-SSP,"10,000",GROW,21.00,18
BN-012PANN-IMP-SSP,"10,000",GROW,28.00,40
BN-012PANN-MAR-LSP,"10,000",GROW,42.00,1
BN-012PANN-MAR-LSP,"10,000",GROW,35.00,15
BN-012PANN-MAR-LSP,"10,000",GROW,28.00,19
BN-012PANN-MAR-LSP,"10,000",GROW,35.00,40
BN-012PANN-MAR-LSP,"10,000",GROW,42.00,43
BN-012PANN-MAR-MSP,"10,000",GROW,35.00,1
BN-012PANN-MAR-MSP,"10,000",GROW,28.00,15
BN-012PANN-MAR-MSP,"10,000",GROW,35.00,43
BN-012PANN-MAR-SSP,"10,000",GROW,28.00,1
